# 職業兩題（組織別 × 工作內容）→ 網站 13 類 canonical 的交叉對照表。
# 自 2026.9 起問卷改為兩題單選；此表把新格式資料收斂成既有的 13 類。
#
# 查表順序：(組織, 工作內容) → (*, 工作內容) → (組織, *)，先命中先用。
# canonical 寫 "-" 表示「這是已知的工作內容選項，但不覆寫組織別的預設」，
#   用途是讓程式分得出「合法選項」與「其他自由填答」——後者會被寫進
#   data/analysis/unmapped_values.csv 供人工檢視。
# 比對時兩側都會忽略空白，選項文字的空格差異不影響。
#
# ⚠ 此檔只放「表單既有選項」與分類對照，是純方法論、可進版控。
#   受訪者在「其他」自由填的原文一律不得寫進此檔，
#   請改補本機的 config/value_synonyms.csv（field 用 occupation_org / occupation_role）。
org,role,canonical
政府機關 / 公營事業,*,公務人員
民意機關（立法院、議會）、政黨或政治團體,*,政治工作
公民團體 / 倡議組織,*,公民團體/倡議
媒體組織,*,媒體
醫療院所,*,醫療
自營、接案或自由工作,*,自由工作者
目前就學中,*,學生
未就業（含退休、待業、家管）,*,其他/未提供
學校 / 學術研究機構,*,學術研究
企業,*,一般民眾/上班族
學校 / 學術研究機構,教學,教育/教師
企業,軟體開發 / 資料工程,資訊科技/開發
企業,設計（產品、視覺、UXUI）,設計/UX
企業,醫療,醫療
*,目前就學中,學生
*,軟體開發 / 資料工程,-
*,議題研究,-
*,設計（產品、視覺、UXUI）,-
*,內勤（行政、人資、財務會計等）,-
*,內容產製（採訪、寫作、編輯）,-
*,倡議,-
*,行銷、社群經營,-
*,政治幕僚（立委、議員助理等）,-
*,專案管理,-
*,教學,-
*,醫療,-
