dimension,category,keywords,description
主題,立委與助理實務,立委|立法委員|國會助理|質詢|監督策略|好的立法委員|品質|索資,立委和國會助理實際怎麼工作：質詢、索資、監督策略，怎樣算一個好立委
主題,議事與立法流程,議事|三讀|法案|審查|審理|立法|修法|黨團|委員會|工作流程|提案|議題別|脈絡,一個法案從提案到三讀怎麼走：委員會審查、黨團協商、議事規範
主題,預算決算,預算|決算|獎補助|編列,政府預算怎麼編、怎麼看：預算編列、獎補助、決算資料
主題,AI與資料工具,chat gpt|chatgpt|AI|codex|蒸餾|幻覺|整理國會資料|整理起來|開發跟整理,用 AI 和資料工具整理國會資料：從大量質詢稿萃取重點、避免 AI 幻覺
主題,資料解讀與媒體識讀,媒體|事實|解讀|比對|新聞性|報導,怎麼判讀媒體上的國會新聞：分辨事實與政治攻防、追蹤質詢後續
主題,特定政策議題,教育|經濟|民防|侵略|國土計畫,個別政策在國會的討論：如教育、經濟、民防、國土計畫
主題,開放國會與透明,開放國會|透明,國會資訊怎麼更公開？g0v 推動開放國會的經驗與挑戰
活動形式,講座/邀請來賓,邀請|來賓|講者|來分享,邀請立委、實務工作者、開發者來分享
活動形式,交流/聊聊,聊聊|交流|認識|實務經驗,和國會助理等實務工作者輕鬆聊聊、互相認識
活動形式,工作坊/動手做,工作坊|動手|實作|教學,動手實作的教學工作坊
活動形式,針對特定受眾,大學生|新手|入門|讀書會,為大學生、新手設計的入門場次
工具建議,工具/平台建議,手機版|平台|資訊平台|app|綜述|資料庫,例如手機版查詢、給一般公民的國會資訊平台總覽
